t,m_req,redundancy
0.00000000,0,0.00000000
0.00200000,0,0.00000000
0.00400000,0,0.00000000
0.00600000,0,0.00000000
0.00800000,0,0.00000000
0.01000000,0,0.00000000
0.01200000,0,0.00000000
0.01400000,0,0.00000000
0.01600000,0,0.00000000
0.01800000,0,0.00000000
0.02000000,0,0.00000000
0.02200000,0,0.00000000
0.02400000,0,0.00000000
0.02600000,0,0.00000000
0.02800000,0,0.00000000
0.03000000,0,0.00000000
0.03200000,0,0.00000000
0.03400000,0,0.00000000
0.03600000,0,0.00000000
0.03800000,0,0.00000000
0.04000000,0,0.00000000
0.04200000,0,0.00000000
0.04400000,0,0.00000000
0.04600000,0,0.00000000
0.04800000,0,0.00000000
0.05000000,0,0.00000000
0.05200000,0,0.00000000
0.05400000,0,0.00000000
0.05600000,0,0.00000000
0.05800000,0,0.00000000
0.06000000,0,0.00000000
0.06200000,0,0.00000000
0.06400000,0,0.00000000
0.06600000,0,0.00000000
0.06800000,0,0.00000000
0.07000000,0,0.00000000
0.07200000,0,0.00000000
0.07400000,0,0.00000000
0.07600000,0,0.00000000
0.07800000,0,0.00000000
0.08000000,0,0.00000000
0.08200000,0,0.00000000
0.08400000,0,0.00000000
0.08600000,0,0.00000000
0.08800000,0,0.00000000
0.09000000,0,0.00000000
0.09200000,0,0.00000000
0.09400000,0,0.00000000
0.09600000,0,0.00000000
0.09800000,0,0.00000000
0.10000000,0,0.00000000
0.10200000,0,0.00000000
0.10400000,0,0.00000000
0.10600000,0,0.00000000
0.10800000,0,0.00000000
0.11000000,0,0.00000000
0.11200000,0,0.00000000
0.11400000,0,0.00000000
0.11600000,0,0.00000000
0.11800000,0,0.00000000
0.12000000,0,0.00000000
0.12200000,0,0.00000000
0.12400000,0,0.00000000
0.12600000,0,0.00000000
0.12800000,0,0.00000000
0.13000000,0,0.00000000
0.13200000,0,0.00000000
0.13400000,0,0.00000000
0.13600000,0,0.00000000
0.13800000,0,0.00000000
0.14000000,0,0.00000000
0.14200000,0,0.00000000
0.14400000,0,0.00000000
0.14600000,0,0.00000000
0.14800000,0,0.00000000
0.15000000,0,0.00000000
0.15200000,0,0.00000000
0.15400000,0,0.00000000
0.15600000,0,0.00000000
0.15800000,0,0.00000000
0.16000000,0,0.00000000
0.16200000,0,0.00000000
0.16400000,0,0.00000000
0.16600000,0,0.00000000
0.16800000,0,0.00000000
0.17000000,0,0.00000000
0.17200000,0,0.00000000
0.17400000,50,1.00000000
0.17600000,48,1.04166667
0.17800000,46,1.08695652
0.18000000,45,1.11111111
0.18200000,43,1.16279070
0.18400000,42,1.19047619
0.18600000,41,1.21951220
0.18800000,39,1.28205128
0.19000000,38,1.31578947
0.19200000,37,1.35135135
0.19400000,36,1.38888889
0.19600000,35,1.42857143
0.19800000,34,1.47058824
0.20000000,33,1.51515152
0.20200000,32,1.56250000
0.20400000,31,1.61290323
0.20600000,30,1.66666667
0.20800000,30,1.66666667
0.21000000,29,1.72413793
0.21200000,28,1.78571429
0.21400000,27,1.85185185
0.21600000,27,1.85185185
0.21800000,26,1.92307692
0.22000000,26,1.92307692
0.22200000,25,2.00000000
0.22400000,24,2.08333333
0.22600000,24,2.08333333
0.22800000,23,2.17391304
0.23000000,23,2.17391304
0.23200000,22,2.27272727
0.23400000,22,2.27272727
0.23600000,21,2.38095238
0.23800000,21,2.38095238
0.24000000,21,2.38095238
0.24200000,20,2.50000000
0.24400000,20,2.50000000
0.24600000,19,2.63157895
0.24800000,19,2.63157895
0.25000000,19,2.63157895
0.25200000,18,2.77777778
0.25400000,18,2.77777778
0.25600000,18,2.77777778
0.25800000,17,2.94117647
0.26000000,17,2.94117647
0.26200000,17,2.94117647
0.26400000,16,3.12500000
0.26600000,16,3.12500000
0.26800000,16,3.12500000
0.27000000,15,3.33333333
0.27200000,15,3.33333333
0.27400000,15,3.33333333
0.27600000,15,3.33333333
0.27800000,14,3.57142857
0.28000000,14,3.57142857
0.28200000,14,3.57142857
0.28400000,14,3.57142857
0.28600000,13,3.84615385
0.28800000,13,3.84615385
0.29000000,13,3.84615385
0.29200000,13,3.84615385
0.29400000,13,3.84615385
0.29600000,12,4.16666667
0.29800000,12,4.16666667
0.30000000,12,4.16666667
0.30200000,12,4.16666667
0.30400000,12,4.16666667
0.30600000,11,4.54545455
0.30800000,11,4.54545455
0.31000000,11,4.54545455
0.31200000,11,4.54545455
0.31400000,11,4.54545455
0.31600000,11,4.54545455
0.31800000,10,5.00000000
0.32000000,10,5.00000000
0.32200000,10,5.00000000
0.32400000,10,5.00000000
0.32600000,10,5.00000000
0.32800000,10,5.00000000
0.33000000,10,5.00000000
0.33200000,10,5.00000000
0.33400000,9,5.55555556
0.33600000,9,5.55555556
0.33800000,9,5.55555556
0.34000000,9,5.55555556
0.34200000,9,5.55555556
0.34400000,9,5.55555556
0.34600000,9,5.55555556
0.34800000,9,5.55555556
0.35000000,8,6.25000000
0.35200000,8,6.25000000
0.35400000,8,6.25000000
0.35600000,8,6.25000000
0.35800000,8,6.25000000
0.36000000,8,6.25000000
0.36200000,8,6.25000000
0.36400000,8,6.25000000
0.36600000,8,6.25000000
0.36800000,8,6.25000000
0.37000000,7,7.14285714
0.37200000,7,7.14285714
0.37400000,7,7.14285714
0.37600000,7,7.14285714
0.37800000,7,7.14285714
0.38000000,7,7.14285714
0.38200000,7,7.14285714
0.38400000,7,7.14285714
0.38600000,7,7.14285714
0.38800000,7,7.14285714
0.39000000,7,7.14285714
0.39200000,7,7.14285714
0.39400000,6,8.33333333
0.39600000,6,8.33333333
0.39800000,6,8.33333333
0.40000000,6,8.33333333
0.40200000,6,8.33333333
0.40400000,6,8.33333333
0.40600000,6,8.33333333
0.40800000,6,8.33333333
0.41000000,6,8.33333333
0.41200000,6,8.33333333
0.41400000,6,8.33333333
0.41600000,6,8.33333333
0.41800000,6,8.33333333
0.42000000,6,8.33333333
0.42200000,6,8.33333333
0.42400000,5,10.00000000
0.42600000,5,10.00000000
0.42800000,5,10.00000000
0.43000000,5,10.00000000
0.43200000,5,10.00000000
0.43400000,5,10.00000000
0.43600000,5,10.00000000
0.43800000,5,10.00000000
0.44000000,5,10.00000000
0.44200000,5,10.00000000
0.44400000,5,10.00000000
0.44600000,5,10.00000000
0.44800000,5,10.00000000
0.45000000,5,10.00000000
0.45200000,5,10.00000000
0.45400000,5,10.00000000
0.45600000,5,10.00000000
0.45800000,5,10.00000000
0.46000000,4,12.50000000
0.46200000,4,12.50000000
0.46400000,4,12.50000000
0.46600000,4,12.50000000
0.46800000,4,12.50000000
0.47000000,4,12.50000000
0.47200000,4,12.50000000
0.47400000,4,12.50000000
0.47600000,4,12.50000000
0.47800000,4,12.50000000
0.48000000,4,12.50000000
0.48200000,4,12.50000000
0.48400000,4,12.50000000
0.48600000,4,12.50000000
0.48800000,4,12.50000000
0.49000000,4,12.50000000
0.49200000,4,12.50000000
0.49400000,4,12.50000000
0.49600000,4,12.50000000
0.49800000,4,12.50000000
0.50000000,4,12.50000000
0.50200000,4,12.50000000
0.50400000,4,12.50000000
0.50600000,4,12.50000000
0.50800000,3,16.66666667
0.51000000,3,16.66666667
0.51200000,3,16.66666667
0.51400000,3,16.66666667
0.51600000,3,16.66666667
0.51800000,3,16.66666667
0.52000000,3,16.66666667
0.52200000,3,16.66666667
0.52400000,3,16.66666667
0.52600000,3,16.66666667
0.52800000,3,16.66666667
0.53000000,3,16.66666667
0.53200000,3,16.66666667
0.53400000,3,16.66666667
0.53600000,3,16.66666667
0.53800000,3,16.66666667
0.54000000,3,16.66666667
0.54200000,3,16.66666667
0.54400000,3,16.66666667
0.54600000,3,16.66666667
0.54800000,3,16.66666667
0.55000000,3,16.66666667
0.55200000,3,16.66666667
0.55400000,3,16.66666667
0.55600000,3,16.66666667
0.55800000,3,16.66666667
0.56000000,3,16.66666667
0.56200000,3,16.66666667
0.56400000,3,16.66666667
0.56600000,3,16.66666667
0.56800000,3,16.66666667
0.57000000,3,16.66666667
0.57200000,2,25.00000000
0.57400000,2,25.00000000
0.57600000,2,25.00000000
0.57800000,2,25.00000000
0.58000000,2,25.00000000
0.58200000,2,25.00000000
0.58400000,2,25.00000000
0.58600000,2,25.00000000
0.58800000,2,25.00000000
0.59000000,2,25.00000000
0.59200000,2,25.00000000
0.59400000,2,25.00000000
0.59600000,2,25.00000000
0.59800000,2,25.00000000
0.60000000,2,25.00000000
0.60200000,2,25.00000000
0.60400000,2,25.00000000
0.60600000,2,25.00000000
0.60800000,2,25.00000000
0.61000000,2,25.00000000
0.61200000,2,25.00000000
0.61400000,2,25.00000000
0.61600000,2,25.00000000
0.61800000,2,25.00000000
0.62000000,2,25.00000000
0.62200000,2,25.00000000
0.62400000,2,25.00000000
0.62600000,2,25.00000000
0.62800000,2,25.00000000
0.63000000,2,25.00000000
0.63200000,2,25.00000000
0.63400000,2,25.00000000
0.63600000,2,25.00000000
0.63800000,2,25.00000000
0.64000000,2,25.00000000
0.64200000,1,50.00000000
0.64400000,1,50.00000000
0.64600000,1,50.00000000
0.64800000,1,50.00000000
0.65000000,1,50.00000000
0.65200000,1,50.00000000
0.65400000,1,50.00000000
0.65600000,1,50.00000000
0.65800000,1,50.00000000
0.66000000,1,50.00000000
0.66200000,1,50.00000000
0.66400000,1,50.00000000
0.66600000,1,50.00000000
0.66800000,1,50.00000000
0.67000000,1,50.00000000
0.67200000,1,50.00000000
0.67400000,1,50.00000000
0.67600000,1,50.00000000
0.67800000,1,50.00000000
0.68000000,1,50.00000000
0.68200000,1,50.00000000
0.68400000,1,50.00000000
0.68600000,1,50.00000000
0.68800000,1,50.00000000
0.69000000,1,50.00000000
0.69200000,1,50.00000000
0.69400000,1,50.00000000
0.69600000,1,50.00000000
0.69800000,1,50.00000000
0.70000000,1,50.00000000
0.70200000,1,50.00000000
0.70400000,1,50.00000000
0.70600000,1,50.00000000
0.70800000,1,50.00000000
0.71000000,1,50.00000000
0.71200000,1,50.00000000
0.71400000,1,50.00000000
0.71600000,1,50.00000000
0.71800000,1,50.00000000
0.72000000,1,50.00000000
0.72200000,1,50.00000000
0.72400000,1,50.00000000
0.72600000,1,50.00000000
0.72800000,1,50.00000000
0.73000000,1,50.00000000
0.73200000,1,50.00000000
0.73400000,1,50.00000000
0.73600000,1,50.00000000
0.73800000,1,50.00000000
0.74000000,1,50.00000000
0.74200000,1,50.00000000
0.74400000,1,50.00000000
0.74600000,1,50.00000000
0.74800000,1,50.00000000
0.75000000,1,50.00000000
0.75200000,1,50.00000000
0.75400000,1,50.00000000
0.75600000,1,50.00000000
0.75800000,1,50.00000000
0.76000000,1,50.00000000
0.76200000,1,50.00000000
0.76400000,1,50.00000000
0.76600000,1,50.00000000
0.76800000,1,50.00000000
0.77000000,1,50.00000000
0.77200000,1,50.00000000
0.77400000,1,50.00000000
0.77600000,1,50.00000000
0.77800000,1,50.00000000
0.78000000,1,50.00000000
0.78200000,1,50.00000000
0.78400000,1,50.00000000
0.78600000,1,50.00000000
0.78800000,1,50.00000000
0.79000000,1,50.00000000
0.79200000,1,50.00000000
0.79400000,1,50.00000000
0.79600000,1,50.00000000
0.79800000,1,50.00000000
0.80000000,1,50.00000000
0.80200000,1,50.00000000
0.80400000,1,50.00000000
0.80600000,1,50.00000000
0.80800000,1,50.00000000
0.81000000,1,50.00000000
0.81200000,1,50.00000000
0.81400000,1,50.00000000
0.81600000,1,50.00000000
0.81800000,1,50.00000000
0.82000000,1,50.00000000
0.82200000,1,50.00000000
0.82400000,1,50.00000000
0.82600000,1,50.00000000
0.82800000,1,50.00000000
0.83000000,1,50.00000000
0.83200000,1,50.00000000
0.83400000,1,50.00000000
0.83600000,1,50.00000000
0.83800000,1,50.00000000
0.84000000,1,50.00000000
0.84200000,1,50.00000000
0.84400000,1,50.00000000
0.84600000,1,50.00000000
0.84800000,1,50.00000000
0.85000000,1,50.00000000
0.85200000,1,50.00000000
0.85400000,1,50.00000000
0.85600000,1,50.00000000
0.85800000,1,50.00000000
0.86000000,1,50.00000000
0.86200000,1,50.00000000
0.86400000,1,50.00000000
0.86600000,1,50.00000000
0.86800000,1,50.00000000
0.87000000,1,50.00000000
0.87200000,1,50.00000000
0.87400000,1,50.00000000
0.87600000,1,50.00000000
0.87800000,1,50.00000000
0.88000000,1,50.00000000
0.88200000,1,50.00000000
0.88400000,1,50.00000000
0.88600000,1,50.00000000
0.88800000,1,50.00000000
0.89000000,1,50.00000000
0.89200000,1,50.00000000
0.89400000,1,50.00000000
0.89600000,1,50.00000000
0.89800000,1,50.00000000
0.90000000,1,50.00000000
0.90200000,1,50.00000000
0.90400000,1,50.00000000
0.90600000,1,50.00000000
0.90800000,1,50.00000000
0.91000000,1,50.00000000
0.91200000,1,50.00000000
0.91400000,1,50.00000000
0.91600000,1,50.00000000
0.91800000,1,50.00000000
0.92000000,1,50.00000000
0.92200000,1,50.00000000
0.92400000,1,50.00000000
0.92600000,1,50.00000000
0.92800000,1,50.00000000
0.93000000,1,50.00000000
0.93200000,1,50.00000000
0.93400000,1,50.00000000
0.93600000,1,50.00000000
0.93800000,1,50.00000000
0.94000000,1,50.00000000
0.94200000,1,50.00000000
0.94400000,1,50.00000000
0.94600000,1,50.00000000
0.94800000,1,50.00000000
0.95000000,1,50.00000000
0.95200000,1,50.00000000
0.95400000,1,50.00000000
0.95600000,1,50.00000000
0.95800000,1,50.00000000
0.96000000,1,50.00000000
0.96200000,1,50.00000000
0.96400000,1,50.00000000
0.96600000,1,50.00000000
0.96800000,1,50.00000000
0.97000000,1,50.00000000
0.97200000,1,50.00000000
0.97400000,1,50.00000000
0.97600000,1,50.00000000
0.97800000,1,50.00000000
0.98000000,1,50.00000000
0.98200000,1,50.00000000
0.98400000,1,50.00000000
0.98600000,2,25.00000000
0.98800000,2,25.00000000
0.99000000,2,25.00000000
0.99200000,2,25.00000000
0.99400000,2,25.00000000
0.99600000,2,25.00000000
0.99800000,2,25.00000000
